0,Close,High,Low,Open,Volume,SMA_20,SMA_50,RSI,Target
2019-03-28,4069.107177734375,4094.902099609375,4040.266357421875,4087.58447265625,9353915899,4000.1018920898437,3881.37615234375,64.4686676165248,1
2019-03-29,4098.37451171875,4113.5009765625,4034.09716796875,4068.2998046875,10918665557,4006.854931640625,3895.354208984375,63.94426750803644,1
2019-03-30,4106.66015625,4296.806640625,4053.90966796875,4092.13623046875,9732688060,4014.607946777344,3904.151806640625,57.00749891181027,0
2019-03-31,4105.404296875,4113.0234375,4094.100830078125,4105.4560546875,9045122443,4024.616796875,3912.8358203125,60.24911365225207,1
2019-04-01,4158.18310546875,4164.953125,4096.9013671875,4105.3623046875,10157794171,4037.0681396484374,3922.1957177734375,64.3914562889653,1
2019-04-02,4879.8779296875,4905.95458984375,4155.31689453125,4156.91943359375,21315047816,4085.726171875,3946.8246630859376,86.11356964475225,1
2019-04-03,4973.02197265625,5307.00341796875,4876.62109375,4879.9580078125,22899891582,4138.1588134765625,3973.21453125,87.00557063562297,0
2019-04-04,4922.798828125,5063.15966796875,4836.7939453125,4971.3076171875,18251810240,4186.253198242188,3999.0290966796874,87.5857851771348,1
2019-04-05,5036.68115234375,5053.509765625,4919.49169921875,4922.80615234375,16837325387,4235.650964355469,4027.4251025390627,89.03756199034656,1
2019-04-06,5059.8173828125,5205.82177734375,4992.22216796875,5036.79296875,16929795194,4287.380383300781,4056.205234375,89.13205696682607,1
2019-04-07,5198.89697265625,5235.1865234375,5050.412109375,5062.7939453125,16655416140,4345.699865722656,4087.587421875,91.03531593290816,1
2019-04-08,5289.77099609375,5318.83642578125,5148.2119140625,5199.83544921875,17154113634,4406.62890625,4119.906118164063,95.26206975477766,0
2019-04-09,5204.95849609375,5289.91796875,5167.4189453125,5289.91796875,14722104361,4462.503015136719,4145.6910009765625,89.90757381627122,1
2019-04-10,5324.5517578125,5421.6513671875,5193.38232421875,5204.10546875,15504590933,4527.2642578125,4173.240146484375,90.0225208259605,0
2019-04-11,5064.48779296875,5354.2255859375,5017.29638671875,5325.08154296875,16555616019,4579.290234375,4194.533491210937,77.8336031986792,1
2019-04-12,5089.5390625,5103.2744140625,4955.8525390625,5061.20068359375,13675206312,4631.975866699218,4217.241909179687,77.78121447635982,1
2019-04-13,5096.58642578125,5127.1220703125,5061.58935546875,5088.85009765625,10823289598,4685.69677734375,4239.06310546875,77.76578054207236,1
2019-04-14,5167.72216796875,5184.01611328125,5053.568359375,5095.7587890625,10391952498,4745.929357910156,4259.56701171875,78.6722826180068,0
2019-04-15,5067.1083984375,5196.60693359375,5024.0693359375,5167.32177734375,12290155061,4800.030737304687,4284.700629882813,73.91465551330563,1
2019-04-16,5235.5595703125,5238.9453125,5055.19482421875,5066.57763671875,11618660197,4857.455407714844,4311.7578955078125,63.20167111412683,1
2019-04-17,5251.93798828125,5274.275390625,5219.20556640625,5236.13525390625,12438480677,4916.596948242188,4339.709497070313,60.977982535779056,1
2019-04-18,5298.3857421875,5319.986328125,5250.5068359375,5251.48046875,13256489918,4976.597509765625,4368.656264648437,64.82696140605182,1
2019-04-19,5303.8125,5336.68017578125,5233.3349609375,5298.154296875,13780238655,5036.455126953125,4397.636806640625,61.533055093297826,1
2019-04-20,5337.88623046875,5358.49072265625,5295.8779296875,5304.16064453125,13169647522,5098.0792236328125,4427.202856445312,61.89294770348336,0
2019-04-21,5314.53125,5359.9248046875,5257.33935546875,5335.87890625,13731844223,5155.896630859375,4456.205180664063,55.4890138136824,1
2019-04-22,5399.365234375,5422.6875,5280.27685546875,5312.49462890625,14601631648,5181.87099609375,4487.248969726563,55.232304149635475,1
2019-04-23,5572.3623046875,5633.80224609375,5389.40869140625,5399.36572265625,15867308108,5211.8380126953125,4523.465073242188,66.1785011961172,0
2019-04-24,5464.86669921875,5642.04443359375,5418.26318359375,5571.50830078125,17048033399,5238.94140625,4554.834907226563,56.24525952279014,0
2019-04-25,5210.515625,5542.23828125,5181.3388671875,5466.5244140625,15330283408,5247.633129882813,4580.9663671875,56.5327560709753,1
2019-04-26,5279.34814453125,5383.63427734375,5177.36865234375,5210.3046875,16812108040,5258.60966796875,4608.323642578125,58.171282701085374,0
2019-04-27,5268.291015625,5310.75,5233.6357421875,5279.47119140625,13111274675,5262.079370117188,4635.6668310546875,57.36645214323032,1
2019-04-28,5285.13916015625,5326.23193359375,5255.68359375,5271.74658203125,12819992056,5261.8477783203125,4662.10333984375,55.28352214302664,0
2019-04-29,5247.3525390625,5311.27490234375,5216.48779296875,5284.8583984375,13735490672,5263.96748046875,4688.0183935546875,58.59668652392419,1
2019-04-30,5350.7265625,5363.25732421875,5224.18994140625,5247.72607421875,13878964574,5265.276220703125,4716.92837890625,55.85639853166689,1
2019-05-01,5402.697265625,5418.00390625,5347.64599609375,5350.91455078125,13679528236,5282.186694335937,4746.79919921875,57.398501393411784,1
2019-05-02,5505.28369140625,5522.2626953125,5394.21728515625,5402.4228515625,14644460907,5302.97392578125,4778.77052734375,59.6232609624828,1
2019-05-03,5768.28955078125,5865.8818359375,5490.20166015625,5505.55224609375,18720780006,5336.55908203125,4815.648935546875,67.42789470077854,1
2019-05-04,5831.16748046875,5886.8935546875,5645.46923828125,5769.20263671875,17567780766,5369.73134765625,4853.0540625,68.11706221822108,0
2019-05-05,5795.70849609375,5833.86279296875,5708.03515625,5831.068359375,14808830723,5406.161352539062,4887.993715820313,67.51676840703067,0
2019-05-06,5746.80712890625,5802.95751953125,5653.6875,5791.693359375,15737171804,5431.72373046875,4922.425278320313,62.98806004039735,1
2019-05-07,5829.50146484375,5988.17822265625,5741.39599609375,5745.59912109375,18026409033,5460.601904296875,4958.365161132812,60.30832122000557,1
2019-05-08,5982.45751953125,5989.98095703125,5794.7158203125,5849.4814453125,15320605300,5494.805493164063,4996.5905078125,70.01973973465809,1
2019-05-09,6174.52880859375,6183.0390625,5982.31640625,5982.31640625,16784645411,5538.34130859375,5038.331557617187,89.17410709856689,1
2019-05-10,6378.84912109375,6434.61767578125,6161.51904296875,6175.82275390625,19419875368,5590.389453125,5085.322001953125,90.24795326487408,1
2019-05-11,7204.771484375,7333.0029296875,6375.69873046875,6379.6669921875,28867562329,5684.90146484375,5148.93806640625,94.3989175648523,0
2019-05-12,6972.37158203125,7503.8720703125,6815.77099609375,7203.50732421875,27773333680,5763.551782226563,5207.668969726563,85.20456525654913,1
2019-05-13,7814.9150390625,8047.4130859375,6898.2822265625,6971.17822265625,28677672181,5875.679418945312,5283.52390625,90.10459106704914,1
2019-05-14,7994.416015625,8268.712890625,7696.39111328125,7807.88427734375,32031452227,6002.156884765625,5364.150815429687,90.33445346249236,1
2019-05-15,8205.16796875,8216.423828125,7899.10693359375,7989.37451171875,28344112920,6151.889501953125,5448.55255859375,90.78110989056276,0
2019-05-16,7884.9091796875,8320.82421875,7729.6083984375,8194.5009765625,33167197581,6282.167553710938,5524.509418945312,82.56492339733383,0
2019-05-17,7343.8955078125,7929.1455078125,7038.12451171875,7886.92578125,30066644905,6385.947778320313,5590.005185546875,70.03735564413742,0
2019-05-18,7271.2080078125,7447.27197265625,7251.50439453125,7341.66455078125,21354286562,6485.251220703125,5653.46185546875,68.26775954320985,1
2019-05-19,8197.689453125,8261.94140625,7267.962890625,7267.962890625,25902422040,6632.76806640625,5735.28244140625,74.8523461783797,0
2019-05-20,7978.30908203125,8200.9677734375,7678.78173828125,8196.923828125,23843404340,6764.147192382812,5812.740537109375,72.30171690558015,0
2019-05-21,7963.32763671875,8062.16796875,7843.33984375,7977.96923828125,25127245056,6892.1787109375,5888.843427734375,71.6181320834016,0
2019-05-22,7680.06640625,7997.6123046875,7615.9873046875,7956.2919921875,24719473175,7000.9178466796875,5944.847197265625,66.75633057353187,1
2019-05-23,7881.8466796875,7943.79150390625,7533.19677734375,7677.26904296875,24457107820,7106.595703125,6003.02369140625,66.81992549485139,1
2019-05-24,7987.37158203125,8140.7197265625,7824.44873046875,7881.6953125,25919126991,7214.405908203125,6064.315146484375,66.16122022227961,1
2019-05-25,8052.5439453125,8117.92578125,7965.97607421875,7991.88525390625,22256813107,7327.2476806640625,6124.63240234375,60.05485165798917,1
2019-05-26,8673.2158203125,8687.5205078125,7924.67041015625,8055.2060546875,26677970091,7473.568115234375,6196.90037109375,68.47133416827403,1
2019-05-27,8805.7783203125,8907.1748046875,8668.705078125,8674.072265625,27949839564,7622.3819580078125,6269.037998046875,62.722853447008966,0
2019-05-28,8719.9619140625,8807.0166015625,8634.7216796875,8802.7578125,24226919267,7759.257177734375,6337.64181640625,59.54579058797349,0
2019-05-29,8659.4873046875,8755.8525390625,8482.728515625,8718.591796875,23473479966,7883.505102539062,6406.732392578125,56.2234376559294,0
2019-05-30,8319.47265625,9008.314453125,8221.2734375,8661.7607421875,29246528551,7980.536279296875,6466.630810546875,55.92076849324582,1
2019-05-31,8574.501953125,8586.6591796875,8172.55078125,8320.2861328125,25365190957,8049.022802734375,6536.83109375,68.1835851766684,0
2019-06-01,8564.0166015625,8625.6005859375,8481.578125,8573.83984375,22488303544,8128.605053710938,6606.32064453125,69.4604151991147,1
2019-06-02,8742.9580078125,8809.3037109375,8561.2353515625,8565.4736328125,20266216022,8175.0072021484375,6679.248076171875,60.591454450609376,0
2019-06-03,8208.9951171875,8743.5,8204.185546875,8741.7470703125,22004511436,8185.736157226563,6740.07353515625,53.992932742733075,0
2019-06-04,7707.77099609375,8210.9853515625,7564.48876953125,8210.9853515625,24609731549,8160.86630859375,6792.886787109375,46.21388805296419,1
2019-06-05,7824.2314453125,7901.84912109375,7668.66845703125,7704.34326171875,21760923463,8157.832421875,6844.660224609375,52.24687651821124,0
2019-06-06,7822.0234375,7937.3408203125,7571.47119140625,7819.63330078125,19474611077,8181.738818359375,6896.06193359375,49.00577910472566,1
2019-06-07,8043.951171875,8126.1533203125,7788.37353515625,7826.9013671875,19141423231,8220.3759765625,6950.9732421875,50.90528744116511,0
2019-06-08,7954.1279296875,8076.89111328125,7837.61083984375,8036.77490234375,16522722810,8208.197900390625,7003.97955078125,48.437643886737945,0
2019-06-09,7688.0771484375,7975.97412109375,7583.2197265625,7949.6748046875,16610726547,8193.686303710938,7050.983369140625,32.376650951883974,1
2019-06-10,8000.32958984375,8031.90966796875,7586.73095703125,7692.28466796875,18689275117,8195.536401367188,7104.6993359375,36.461551113428854,0
2019-06-11,7927.71435546875,8026.39404296875,7772.8037109375,8004.24365234375,17107279932,8207.918798828125,7155.266318359375,36.62408362875347,1
2019-06-12,8145.857421875,8196.6484375,7862.35986328125,7925.43408203125,19034432883,8221.1193359375,7206.736220703125,41.766478876943566,1
2019-06-13,8230.923828125,8311.5673828125,8087.06103515625,8145.54541015625,18669407147,8233.296948242187,7262.05736328125,48.45420843517969,1
2019-06-14,8693.8330078125,8710.63671875,8183.39306640625,8230.8984375,19831162906,8265.361401367187,7331.7237109375,51.942192764956445,1
2019-06-15,8838.375,8859.1279296875,8618.3955078125,8689.74609375,18371033226,8273.619360351562,7402.904248046875,54.278657745759006,1
2019-06-16,8994.48828125,9335.8671875,8814.556640625,8841.4404296875,23348550311,8283.054858398438,7477.428193359375,53.950780102942055,1
2019-06-17,9320.3525390625,9416.4072265625,8988.923828125,8988.923828125,15562951919,8313.074389648438,7558.1324609375,68.67701917380165,0
2019-06-18,9081.7626953125,9348.3740234375,9004.9013671875,9335.466796875,15848210536,8334.188159179688,7634.8206640625,75.32642045889222,1
2019-06-19,9273.521484375,9299.62109375,9070.3955078125,9078.7275390625,15546809946,8381.890600585937,7713.2765625,75.99283725886437,1
2019-06-20,9527.16015625,9594.419921875,9232.484375,9273.060546875,17846823784,8429.523510742187,7795.7658203125,78.05151791090528,1
2019-06-21,10144.556640625,10144.556640625,9525.07421875,9525.07421875,20624008643,8508.550512695312,7888.551279296875,80.57860262629514,1
2019-06-22,10701.69140625,11157.345703125,10107.03515625,10175.923828125,29995204861,8606.487182617188,7987.21931640625,85.20643938208961,1
2019-06-23,10855.37109375,11246.14453125,10556.095703125,10696.69140625,20998326502,8738.805981445312,8087.703388671875,91.78814309020353,1
2019-06-24,11011.1025390625,11065.896484375,10610.427734375,10853.744140625,19271652365,8903.97255859375,8192.01126953125,91.43436845622873,1
2019-06-25,11790.9169921875,11790.9169921875,11007.2021484375,11007.2021484375,24879684533,9102.3068359375,8312.893466796875,94.50302240844773,1
2019-06-26,13016.2314453125,13796.4892578125,11755.59765625,11778.5810546875,45105733173,9362.017236328125,8456.62806640625,95.53833665546911,0
2019-06-27,11182.806640625,13311.14453125,10491.8525390625,13017.125,39977475223,9518.960009765626,8560.635048828124,70.79988285508794,1
2019-06-28,12407.33203125,12445.1748046875,10914.4951171875,11162.16796875,35087757766,9741.62021484375,8685.29111328125,73.63019814919237,0
2019-06-29,11959.37109375,12400.91015625,11508.37890625,12400.763671875,29923961128,9955.184912109375,8796.901552734374,69.12153082336442,0
2019-06-30,10817.1552734375,12178.3837890625,10799.0087890625,11931.9912109375,27256473494,10096.026196289062,8869.149228515626,59.96314129203415,0
2019-07-01,10583.134765625,11206.439453125,10089.314453125,10796.9306640625,29378589324,10228.797216796875,8941.3644921875,56.972686314017174,1
2019-07-02,10801.677734375,10912.1884765625,9737.884765625,10588.68359375,31015895223,10361.588232421875,9001.09974609375,59.51790115070217,1
2019-07-03,11961.26953125,11968.078125,10818.15625,10818.15625,30796494294,10548.105517578126,9080.43681640625,63.434720314155996,0
2019-07-04,11215.4375,12006.0751953125,11166.5693359375,11972.71875,25920294033,10674.1857421875,9140.64220703125,58.04310384132606,0
2019-07-05,10978.4599609375,11395.6611328125,10874.96484375,11203.1025390625,23838480210,10781.189990234376,9202.51322265625,54.122207427819845,1
2019-07-06,11208.55078125,11620.96484375,10982.5439453125,10982.5439453125,21092024306,10891.893115234376,9279.806328125,52.58926102016357,1
2019-07-07,11450.8466796875,11541.6201171875,11148.8046875,11217.6162109375,19369044277,10998.417822265625,9363.3991015625,53.01465752616017,1
2019-07-08,12285.9580078125,12345.8330078125,11393.3740234375,11446.5966796875,23482551458,11158.627587890625,9445.16447265625,56.0386957010862,1
2019-07-09,12573.8125,12779.1318359375,12233.26171875,12284.326171875,28167921523,11323.642138671876,9537.074541015625,53.889677426804816,0
2019-07-10,12156.5126953125,13129.529296875,11710.978515625,12571.537109375,33627574244,11455.109765625,9620.9382421875,45.35575564245261,0
2019-07-11,11358.662109375,12144.623046875,11158.9228515625,12139.7138671875,28595327690,11515.8150390625,9694.51015625,51.06965835512733,1
2019-07-12,11815.986328125,11905.4873046875,11179.14453125,11354.2998046875,23534692797,11571.52978515625,9773.19294921875,46.032817773957525,0
2019-07-13,11392.37890625,11841.95703125,10908.4794921875,11813.126953125,21042616384,11598.38017578125,9841.293095703126,46.183728934591244,0
2019-07-14,10256.05859375,11451.2041015625,10234.576171875,11381.0205078125,22486000001,11560.627978515626,9885.363388671874,46.22041044012754,1
2019-07-15,10895.08984375,11052.7666015625,9992.0068359375,10257.8388671875,25384047207,11515.83662109375,9929.800869140625,51.992627871963606,0
2019-07-16,9477.6416015625,10996.6328125,9448.1064453125,10896.6533203125,24151199070,11338.90712890625,9943.238134765625,42.665949027806704,1
2019-07-17,9693.802734375,9963.134765625,9163.134765625,9471.2138671875,24569921549,11264.45693359375,9962.714951171874,35.9742096423405,1
2019-07-18,10666.482421875,10736.8427734375,9376.798828125,9698.5029296875,25187024648,11177.414453125,10002.854853515624,46.69704215080239,0
2019-07-19,10530.732421875,10716.98046875,10229.62890625,10653.9560546875,20727426310,11105.98251953125,10047.080048828126,47.27288906506277,1
2019-07-20,10767.1396484375,11048.662109375,10451.2763671875,10525.8193359375,20206615155,11103.48173828125,10090.932802734374,47.313429553493364,0
2019-07-21,10599.10546875,10841.8876953125,10389.599609375,10777.529296875,17130580467,11104.2802734375,10131.634580078126,44.768739846317196,0
2019-07-22,10343.1064453125,10651.791015625,10154.921875,10596.9482421875,16334414913,11081.351708984375,10163.637548828125,37.15345623607658,0
2019-07-23,9900.767578125,10346.748046875,9883.5947265625,10346.748046875,17851916995,10978.326611328124,10197.472998046875,32.67912363338236,0
2019-07-24,9811.92578125,9908.796875,9614.306640625,9887.73046875,17398734322,10908.151025390625,10239.55609375,34.13202282428219,1
2019-07-25,9911.841796875,10154.25390625,9773.95703125,9809.0966796875,15821952090,10854.8201171875,10281.30830078125,39.1864669240525,0
2019-07-26,9870.3037109375,9916.517578125,9717.982421875,9913.126953125,14495714483,10787.907763671876,10322.27390625,34.49426280120119,0
2019-07-27,9477.677734375,10167.3203125,9411.521484375,9871.1650390625,16817809536,10689.24931640625,10350.9484375,34.66544114541604,1
2019-07-28,9552.8603515625,9575.544921875,9252.296875,9491.626953125,13738687093,10552.59443359375,10382.9230859375,43.21493177664902,0
